"Zip","LessThan10K","MoreThan10K","MoreThan25K","MoreThan50K"
"92275","0.22","0.34","0.28","0.16"
"92275","0.22","0.34","0.28","0.16"
"92281","0.24","0.38","0.25","0.12"
"92281","0.24","0.38","0.25","0.12"
"92283","0.26","0.47","0.21","0.06"
"92283","0.26","0.47","0.21","0.06"
"92284","0.21","0.27","0.28","0.24"
"92284","0.21","0.27","0.28","0.24"
"92285","0.26","0.38","0.26","0.1"
"92285","0.26","0.38","0.26","0.1"
"92311","0.21","0.27","0.27","0.26"
"92311","0.21","0.27","0.27","0.26"
"92314","0.22","0.25","0.25","0.27"
"92314","0.22","0.25","0.25","0.27"
"92315","0.22","0.27","0.24","0.27"
"92315","0.22","0.27","0.24","0.27"
"92321","0.25","0.27","0.21","0.27"
"92321","0.25","0.27","0.21","0.27"
"92341","0.23","0.21","0.19","0.37"
"92341","0.23","0.21","0.19","0.37"
"92347","0.22","0.24","0.31","0.23"
"92347","0.22","0.24","0.31","0.23"
"92356","0.24","0.3","0.28","0.18"
"92356","0.24","0.3","0.28","0.18"
"92363","0.25","0.31","0.21","0.22"
"92363","0.25","0.31","0.21","0.22"
"92365","0.23","0.25","0.27","0.26"
"92365","0.23","0.25","0.27","0.26"
"92368","0.22","0.37","0.27","0.14"
"92368","0.22","0.37","0.27","0.14"
"92386","0.24","0.32","0.26","0.18"
"92386","0.24","0.32","0.26","0.18"
"92401","0.31","0.44","0.17","0.08"
"92401","0.31","0.44","0.17","0.08"
"92404","0.21","0.32","0.27","0.2"
"92404","0.21","0.32","0.27","0.2"
"92408","0.24","0.37","0.26","0.13"
"92408","0.24","0.37","0.26","0.13"
"92410","0.26","0.42","0.25","0.07"
"92410","0.26","0.42","0.25","0.07"
"92411","0.24","0.42","0.27","0.07"
"92411","0.24","0.42","0.27","0.07"
"92515","0.24","0.29","0.27","0.2"
"92515","0.24","0.29","0.27","0.2"
"92543","0.22","0.38","0.27","0.13"
"92543","0.22","0.38","0.27","0.13"
"92548","0.21","0.36","0.29","0.14"
"92548","0.21","0.36","0.29","0.14"
"92700","0.22","0.2","0.33","0.25"
"92700","0.22","0.2","0.33","0.25"
"93016","0.22","0.42","0.22","0.14"
"93016","0.22","0.42","0.22","0.14"
"93032","0.24","0.46","0.23","0.08"
"93032","0.24","0.46","0.23","0.08"
"93107","0.41","0.28","0.21","0.1"
"93107","0.41","0.28","0.21","0.1"
"93117","0.21","0.24","0.23","0.31"
"93117","0.21","0.24","0.23","0.31"
"93150","0.22","0.14","0.24","0.4"
"93150","0.22","0.14","0.24","0.4"
"93201","0.3","0.41","0.19","0.11"
"93201","0.3","0.41","0.19","0.11"
"93202","0.21","0.38","0.29","0.12"
"93202","0.21","0.38","0.29","0.12"
"93203","0.26","0.5","0.19","0.05"
"93203","0.26","0.5","0.19","0.05"
"93204","0.24","0.47","0.22","0.07"
"93204","0.24","0.47","0.22","0.07"
"93205","0.24","0.34","0.25","0.17"
"93205","0.24","0.34","0.25","0.17"
"93206","0.22","0.41","0.26","0.1"
"93206","0.22","0.41","0.26","0.1"
"93212","0.22","0.37","0.27","0.14"
"93212","0.22","0.37","0.27","0.14"
"93215","0.24","0.44","0.22","0.1"
"93215","0.24","0.44","0.22","0.1"
"93216","0.26","0.52","0.16","0.07"
"93216","0.26","0.52","0.16","0.07"
"93218","0.53","0.27","0.13","0.07"
"93218","0.53","0.27","0.13","0.07"
"93219","0.29","0.52","0.16","0.03"
"93219","0.29","0.52","0.16","0.03"
"93220","0.22","0.41","0.24","0.13"
"93220","0.22","0.41","0.24","0.13"
"93221","0.21","0.29","0.24","0.26"
"93221","0.21","0.29","0.24","0.26"
"93223","0.25","0.46","0.22","0.07"
"93223","0.25","0.46","0.22","0.07"
"93227","0.25","0.46","0.24","0.05"
"93227","0.25","0.46","0.24","0.05"
"93234","0.29","0.51","0.17","0.03"
"93234","0.29","0.51","0.17","0.03"
"93235","0.24","0.44","0.24","0.07"
"93235","0.24","0.44","0.24","0.07"
"93239","0.22","0.55","0.19","0.04"
"93239","0.22","0.55","0.19","0.04"
"93240","0.24","0.29","0.24","0.23"
"93240","0.24","0.29","0.24","0.23"
"93241","0.27","0.51","0.19","0.04"
"93241","0.27","0.51","0.19","0.04"
"93244","0.21","0.26","0.28","0.26"
"93244","0.21","0.26","0.28","0.26"
"93247","0.26","0.42","0.21","0.11"
"93247","0.26","0.42","0.21","0.11"
"93250","0.26","0.46","0.21","0.07"
"93250","0.26","0.46","0.21","0.07"
"93251","0.24","0.14","0.4","0.21"
"93251","0.24","0.14","0.4","0.21"
"93256","0.22","0.42","0.28","0.07"
"93256","0.22","0.42","0.28","0.07"
"93257","0.23","0.35","0.23","0.18"
"93257","0.23","0.35","0.23","0.18"
"93258","0.33","0.44","0.16","0.06"
"93258","0.33","0.44","0.16","0.06"
"93261","0.38","0.49","0.12","0.02"
"93261","0.38","0.49","0.12","0.02"
"93263","0.24","0.37","0.25","0.14"
"93263","0.24","0.37","0.25","0.14"
"93266","0.22","0.42","0.25","0.1"
"93266","0.22","0.42","0.25","0.1"
"93267","0.36","0.38","0.17","0.09"
"93267","0.36","0.38","0.17","0.09"
"93270","0.41","0.38","0.13","0.08"
"93270","0.41","0.38","0.13","0.08"
"93274","0.21","0.32","0.27","0.2"
"93274","0.21","0.32","0.27","0.2"
"93280","0.24","0.4","0.24","0.12"
"93280","0.24","0.4","0.24","0.12"
"93283","0.26","0.32","0.25","0.18"
"93283","0.26","0.32","0.25","0.18"
"93285","0.22","0.3","0.24","0.24"
"93285","0.22","0.3","0.24","0.24"
"93286","0.22","0.41","0.24","0.12"
"93286","0.22","0.41","0.24","0.12"
"93291","0.23","0.33","0.23","0.21"
"93291","0.23","0.33","0.23","0.21"
"93301","0.24","0.35","0.22","0.18"
"93301","0.24","0.35","0.22","0.18"
"93304","0.22","0.36","0.27","0.15"
"93304","0.22","0.36","0.27","0.15"
"93305","0.26","0.39","0.22","0.13"
"93305","0.26","0.39","0.22","0.13"
"93307","0.24","0.41","0.24","0.11"
"93307","0.24","0.41","0.24","0.11"
"93383","0.21","0.42","0.27","0.1"
"93383","0.21","0.42","0.27","0.1"
"93385","0.25","0.5","0.16","0.09"
"93385","0.25","0.5","0.16","0.09"
"93387","0.24","0.53","0.17","0.06"
"93387","0.24","0.53","0.17","0.06"
"93401","0.23","0.24","0.22","0.32"
"93401","0.23","0.24","0.22","0.32"
"93405","0.32","0.22","0.18","0.28"
"93405","0.32","0.22","0.18","0.28"
"93426","0.21","0.22","0.31","0.26"
"93426","0.21","0.22","0.31","0.26"
"93434","0.22","0.42","0.25","0.11"
"93434","0.22","0.42","0.25","0.11"
"93458","0.23","0.42","0.24","0.1"
"93458","0.23","0.42","0.24","0.1"
"93501","0.24","0.28","0.26","0.22"
"93501","0.24","0.28","0.26","0.22"
"93516","0.21","0.23","0.2","0.36"
"93516","0.21","0.23","0.2","0.36"
"93541","0.22","0.29","0.25","0.25"
"93541","0.22","0.29","0.25","0.25"
"93545","0.23","0.27","0.25","0.26"
"93545","0.23","0.27","0.25","0.26"
"93562","0.23","0.19","0.24","0.34"
"93562","0.23","0.19","0.24","0.34"
"93584","0.21","0.31","0.26","0.22"
"93584","0.21","0.31","0.26","0.22"
"93591","0.21","0.27","0.3","0.23"
"93591","0.21","0.27","0.3","0.23"
"93601","0.21","0.26","0.26","0.27"
"93601","0.21","0.26","0.26","0.27"
"93604","0.22","0.22","0.26","0.3"
"93604","0.22","0.22","0.26","0.3"
"93606","0.31","0.49","0.15","0.05"
"93606","0.31","0.49","0.15","0.05"
"93608","0.22","0.54","0.21","0.03"
"93608","0.22","0.54","0.21","0.03"
"93609","0.24","0.38","0.24","0.14"
"93609","0.24","0.38","0.24","0.14"
"93610","0.22","0.34","0.27","0.17"
"93610","0.22","0.34","0.27","0.17"
"93615","0.33","0.47","0.17","0.04"
"93615","0.33","0.47","0.17","0.04"
"93616","0.31","0.44","0.18","0.08"
"93616","0.31","0.44","0.18","0.08"
"93618","0.28","0.39","0.21","0.13"
"93618","0.28","0.39","0.21","0.13"
"93620","0.22","0.37","0.26","0.15"
"93620","0.22","0.37","0.26","0.15"
"93621","0.21","0.27","0.27","0.25"
"93621","0.21","0.27","0.27","0.25"
"93622","0.24","0.45","0.23","0.08"
"93622","0.24","0.45","0.23","0.08"
"93625","0.23","0.34","0.24","0.2"
"93625","0.23","0.34","0.24","0.2"
"93628","0.25","0.38","0.27","0.1"
"93628","0.25","0.38","0.27","0.1"
"93630","0.23","0.38","0.24","0.15"
"93630","0.23","0.38","0.24","0.15"
"93637","0.21","0.31","0.26","0.23"
"93637","0.21","0.31","0.26","0.23"
"93638","0.23","0.33","0.22","0.21"
"93638","0.23","0.33","0.22","0.21"
"93639","0.26","0.43","0.18","0.14"
"93639","0.26","0.43","0.18","0.14"
"93640","0.3","0.54","0.13","0.03"
"93640","0.3","0.54","0.13","0.03"
"93641","0.21","0.28","0.28","0.23"
"93641","0.21","0.28","0.28","0.23"
"93646","0.32","0.48","0.16","0.04"
"93646","0.32","0.48","0.16","0.04"
"93647","0.28","0.46","0.2","0.06"
"93647","0.28","0.46","0.2","0.06"
"93648","0.3","0.47","0.19","0.04"
"93648","0.3","0.47","0.19","0.04"
"93650","0.26","0.4","0.25","0.09"
"93650","0.26","0.4","0.25","0.09"
"93652","0.28","0.52","0.16","0.04"
"93652","0.28","0.52","0.16","0.04"
"93654","0.25","0.37","0.21","0.18"
"93654","0.25","0.37","0.21","0.18"
"93656","0.22","0.36","0.29","0.14"
"93656","0.22","0.36","0.29","0.14"
"93657","0.23","0.35","0.22","0.2"
"93657","0.23","0.35","0.22","0.2"
"93660","0.23","0.53","0.2","0.04"
"93660","0.23","0.53","0.2","0.04"
"93662","0.24","0.37","0.23","0.16"
"93662","0.24","0.37","0.23","0.16"
"93666","0.37","0.48","0.11","0.03"
"93666","0.37","0.48","0.11","0.03"
"93701","0.36","0.49","0.13","0.02"
"93701","0.36","0.49","0.13","0.02"
"93702","0.29","0.46","0.2","0.05"
"93702","0.29","0.46","0.2","0.05"
"93703","0.25","0.4","0.26","0.09"
"93703","0.25","0.4","0.26","0.09"
"93705","0.22","0.36","0.28","0.14"
"93705","0.22","0.36","0.28","0.14"
"93706","0.3","0.41","0.21","0.09"
"93706","0.3","0.41","0.21","0.09"
"93710","0.21","0.27","0.25","0.27"
"93710","0.21","0.27","0.25","0.27"
"93721","0.29","0.4","0.2","0.1"
"93721","0.29","0.4","0.2","0.1"
"93725","0.25","0.39","0.24","0.12"
"93725","0.25","0.39","0.24","0.12"
"93726","0.23","0.35","0.28","0.14"
"93726","0.23","0.35","0.28","0.14"
"93727","0.22","0.31","0.27","0.2"
"93727","0.22","0.31","0.27","0.2"
"93728","0.24","0.37","0.28","0.11"
"93728","0.24","0.37","0.28","0.11"
"93745","0.27","0.51","0.17","0.05"
"93745","0.27","0.51","0.17","0.05"
"93755","0.21","0.28","0.32","0.2"
"93755","0.21","0.28","0.32","0.2"
"93790","0.22","0.25","0.31","0.22"
"93790","0.22","0.25","0.31","0.22"
"93794","0.21","0.24","0.31","0.24"
"93794","0.21","0.24","0.31","0.24"
"93944","0.27","0.61","0.08","0.04"
"93944","0.27","0.61","0.08","0.04"
"94309","0.41","0.25","0.15","0.18"
"94309","0.41","0.25","0.15","0.18"
"94508","0.22","0.19","0.22","0.36"
"94508","0.22","0.19","0.22","0.36"
"94516","0.23","0.18","0.15","0.43"
"94516","0.23","0.18","0.15","0.43"
"94607","0.22","0.33","0.29","0.17"
"94607","0.22","0.33","0.29","0.17"
"94613","0.41","0.12","0.24","0.24"
"94613","0.41","0.12","0.24","0.24"
"94704","0.28","0.26","0.27","0.2"
"94704","0.28","0.26","0.27","0.2"
"94720","0.42","0.34","0.16","0.09"
"94720","0.42","0.34","0.16","0.09"
"94922","0.23","0.26","0.21","0.3"
"94922","0.23","0.26","0.21","0.3"
"94924","0.25","0.24","0.23","0.28"
"94924","0.25","0.24","0.23","0.28"
"94940","0.27","0.19","0.29","0.25"
"94940","0.27","0.19","0.29","0.25"
"95064","0.39","0.23","0.17","0.2"
"95064","0.39","0.23","0.17","0.2"
"95075","0.21","0.17","0.2","0.41"
"95075","0.21","0.17","0.2","0.41"
"95202","0.37","0.43","0.16","0.04"
"95202","0.37","0.43","0.16","0.04"
"95205","0.24","0.39","0.28","0.1"
"95205","0.24","0.39","0.28","0.1"
"95210","0.21","0.29","0.29","0.2"
"95210","0.21","0.29","0.29","0.2"
"95221","0.21","0.26","0.27","0.26"
"95221","0.21","0.26","0.27","0.26"
"95248","0.22","0.32","0.23","0.23"
"95248","0.22","0.32","0.23","0.23"
"95253","0.23","0.47","0.21","0.09"
"95253","0.23","0.47","0.21","0.09"
"95257","0.21","0.3","0.29","0.21"
"95257","0.21","0.3","0.29","0.21"
"95303","0.21","0.38","0.23","0.18"
"95303","0.21","0.38","0.23","0.18"
"95305","0.22","0.32","0.27","0.19"
"95305","0.22","0.32","0.27","0.19"
"95309","0.22","0.24","0.23","0.31"
"95309","0.22","0.24","0.23","0.31"
"95310","0.21","0.29","0.24","0.26"
"95310","0.21","0.29","0.24","0.26"
"95312","0.23","0.43","0.26","0.09"
"95312","0.23","0.43","0.26","0.09"
"95313","0.21","0.41","0.26","0.12"
"95313","0.21","0.41","0.26","0.12"
"95319","0.22","0.42","0.26","0.1"
"95319","0.22","0.42","0.26","0.1"
"95327","0.21","0.25","0.27","0.26"
"95327","0.21","0.25","0.27","0.26"
"95328","0.24","0.37","0.3","0.09"
"95328","0.24","0.37","0.3","0.09"
"95333","0.24","0.36","0.25","0.15"
"95333","0.24","0.36","0.25","0.15"
"95334","0.21","0.41","0.28","0.1"
"95334","0.21","0.41","0.28","0.1"
"95338","0.21","0.24","0.25","0.3"
"95338","0.21","0.24","0.25","0.3"
"95340","0.23","0.3","0.23","0.24"
"95340","0.23","0.3","0.23","0.24"
"95341","0.26","0.42","0.22","0.1"
"95341","0.26","0.42","0.22","0.1"
"95348","0.21","0.3","0.27","0.22"
"95348","0.21","0.3","0.27","0.22"
"95351","0.25","0.34","0.27","0.14"
"95351","0.25","0.34","0.27","0.14"
"95353","0.21","0.28","0.3","0.21"
"95353","0.21","0.28","0.3","0.21"
"95358","0.21","0.3","0.27","0.23"
"95358","0.21","0.3","0.27","0.23"
"95365","0.28","0.49","0.2","0.04"
"95365","0.28","0.49","0.2","0.04"
"95374","0.23","0.3","0.28","0.19"
"95374","0.23","0.3","0.28","0.19"
"95379","0.22","0.27","0.25","0.26"
"95379","0.22","0.27","0.25","0.26"
"95380","0.21","0.31","0.28","0.21"
"95380","0.21","0.31","0.28","0.21"
"95383","0.21","0.22","0.23","0.35"
"95383","0.21","0.22","0.23","0.35"
"95385","0.22","0.35","0.26","0.17"
"95385","0.22","0.35","0.26","0.17"
"95386","0.22","0.28","0.28","0.22"
"95386","0.22","0.28","0.28","0.22"
"95388","0.23","0.38","0.28","0.12"
"95388","0.23","0.38","0.28","0.12"
"95410","0.25","0.34","0.21","0.2"
"95410","0.25","0.34","0.21","0.2"
"95412","0.21","0.23","0.38","0.17"
"95412","0.21","0.23","0.38","0.17"
"95420","0.23","0.3","0.25","0.22"
"95420","0.23","0.3","0.25","0.22"
"95422","0.27","0.36","0.23","0.14"
"95422","0.27","0.36","0.23","0.14"
"95423","0.23","0.31","0.26","0.19"
"95423","0.23","0.31","0.26","0.19"
"95424","0.31","0.36","0.19","0.14"
"95424","0.31","0.36","0.19","0.14"
"95428","0.29","0.38","0.22","0.11"
"95428","0.29","0.38","0.22","0.11"
"95432","0.25","0.31","0.22","0.22"
"95432","0.25","0.31","0.22","0.22"
"95437","0.21","0.3","0.28","0.21"
"95437","0.21","0.3","0.28","0.21"
"95454","0.25","0.31","0.27","0.17"
"95454","0.25","0.31","0.27","0.17"
"95456","0.23","0.28","0.27","0.22"
"95456","0.23","0.28","0.27","0.22"
"95458","0.24","0.36","0.23","0.17"
"95458","0.24","0.36","0.23","0.17"
"95460","0.21","0.3","0.22","0.28"
"95460","0.21","0.3","0.22","0.28"
"95462","0.21","0.26","0.28","0.26"
"95462","0.21","0.26","0.28","0.26"
"95464","0.27","0.31","0.27","0.15"
"95464","0.27","0.31","0.27","0.15"
"95468","0.25","0.32","0.27","0.17"
"95468","0.25","0.32","0.27","0.17"
"95480","0.25","0.29","0.2","0.25"
"95480","0.25","0.29","0.2","0.25"
"95481","0.25","0.44","0.22","0.08"
"95481","0.25","0.44","0.22","0.08"
"95485","0.21","0.34","0.29","0.17"
"95485","0.21","0.34","0.29","0.17"
"95488","0.23","0.21","0.35","0.21"
"95488","0.23","0.21","0.35","0.21"
"95490","0.22","0.27","0.28","0.23"
"95490","0.22","0.27","0.28","0.23"
"95501","0.24","0.34","0.24","0.17"
"95501","0.24","0.34","0.24","0.17"
"95502","0.21","0.33","0.27","0.2"
"95502","0.21","0.33","0.27","0.2"
"95518","0.25","0.3","0.24","0.21"
"95518","0.25","0.3","0.24","0.21"
"95521","0.33","0.29","0.19","0.19"
"95521","0.33","0.29","0.19","0.19"
"95524","0.24","0.21","0.2","0.35"
"95524","0.24","0.21","0.2","0.35"
"95525","0.21","0.3","0.29","0.21"
"95525","0.21","0.3","0.29","0.21"
"95526","0.25","0.29","0.33","0.13"
"95526","0.25","0.29","0.33","0.13"
"95527","0.26","0.26","0.29","0.19"
"95527","0.26","0.26","0.29","0.19"
"95531","0.23","0.26","0.23","0.27"
"95531","0.23","0.26","0.23","0.27"
"95537","0.28","0.37","0.25","0.1"
"95537","0.28","0.37","0.25","0.1"
"95542","0.24","0.32","0.23","0.21"
"95542","0.24","0.32","0.23","0.21"
"95546","0.3","0.39","0.23","0.08"
"95546","0.3","0.39","0.23","0.08"
"95548","0.28","0.37","0.23","0.12"
"95548","0.28","0.37","0.23","0.12"
"95552","0.33","0.28","0.26","0.13"
"95552","0.33","0.28","0.26","0.13"
"95553","0.27","0.27","0.24","0.21"
"95553","0.27","0.27","0.24","0.21"
"95555","0.24","0.33","0.31","0.12"
"95555","0.24","0.33","0.31","0.12"
"95556","0.23","0.28","0.32","0.17"
"95556","0.23","0.28","0.32","0.17"
"95560","0.29","0.37","0.23","0.12"
"95560","0.29","0.37","0.23","0.12"
"95562","0.23","0.33","0.29","0.15"
"95562","0.23","0.33","0.29","0.15"
"95563","0.22","0.27","0.29","0.22"
"95563","0.22","0.27","0.29","0.22"
"95564","0.24","0.34","0.29","0.13"
"95564","0.24","0.34","0.29","0.13"
"95567","0.22","0.33","0.25","0.21"
"95567","0.22","0.33","0.25","0.21"
"95573","0.24","0.26","0.26","0.25"
"95573","0.24","0.26","0.26","0.25"
"95589","0.28","0.35","0.21","0.16"
"95589","0.28","0.35","0.21","0.16"
"95595","0.25","0.33","0.22","0.2"
"95595","0.25","0.33","0.22","0.2"
"95605","0.22","0.36","0.29","0.13"
"95605","0.22","0.36","0.29","0.13"
"95613","0.21","0.21","0.23","0.34"
"95613","0.21","0.21","0.23","0.34"
"95615","0.21","0.39","0.23","0.17"
"95615","0.21","0.39","0.23","0.17"
"95616","0.22","0.2","0.19","0.39"
"95616","0.22","0.2","0.19","0.39"
"95675","0.24","0.26","0.22","0.28"
"95676","0.22","0.27","0.27","0.25"
"95715","0.21","0.21","0.33","0.25"
"95800","0.21","0.26","0.21","0.31"
"95815","0.21","0.36","0.3","0.13"
"95817","0.22","0.31","0.29","0.18"
"95824","0.24","0.37","0.29","0.09"
"95832","0.28","0.35","0.28","0.09"
"95838","0.22","0.33","0.29","0.16"
"95901","0.22","0.32","0.27","0.19"
"95912","0.21","0.36","0.27","0.16"
"95913","0.21","0.26","0.27","0.25"
"95916","0.26","0.27","0.25","0.22"
"95917","0.22","0.31","0.27","0.21"
"95922","0.23","0.28","0.26","0.23"
"95925","0.24","0.3","0.18","0.28"
"95926","0.27","0.27","0.22","0.25"
"95927","0.21","0.31","0.27","0.21"
"95928","0.26","0.28","0.22","0.24"
"95930","0.22","0.23","0.32","0.23"
"95934","0.28","0.31","0.21","0.2"
"95936","0.23","0.23","0.27","0.27"
"95939","0.23","0.26","0.27","0.23"
"95941","0.22","0.23","0.34","0.2"
"95943","0.23","0.26","0.23","0.28"
"95947","0.22","0.27","0.27","0.24"
"95948","0.23","0.33","0.26","0.18"
"95953","0.24","0.36","0.27","0.14"
"95957","0.21","0.29","0.26","0.25"
"95960","0.27","0.34","0.25","0.14"
"95961","0.22","0.38","0.29","0.11"
"95962","0.24","0.25","0.2","0.31"
"95963","0.21","0.32","0.27","0.2"
"95965","0.24","0.34","0.25","0.17"
"95968","0.24","0.36","0.27","0.13"
"95971","0.22","0.23","0.26","0.29"
"95988","0.23","0.28","0.26","0.23"
"95992","0.21","0.37","0.25","0.17"
"96002","0.22","0.31","0.24","0.24"
"96007","0.22","0.31","0.27","0.2"
"96010","0.29","0.39","0.17","0.15"
"96015","0.27","0.33","0.28","0.12"
"96017","0.28","0.32","0.23","0.17"
"96019","0.23","0.32","0.26","0.19"
"96021","0.23","0.33","0.28","0.16"
"96023","0.26","0.37","0.21","0.16"
"96024","0.25","0.27","0.22","0.26"
"96025","0.23","0.31","0.26","0.19"
"96027","0.21","0.26","0.28","0.25"
"96028","0.21","0.26","0.27","0.25"
"96035","0.21","0.34","0.31","0.14"
"96038","0.21","0.33","0.28","0.18"
"96039","0.24","0.32","0.27","0.17"
"96040","0.21","0.22","0.31","0.25"
